city,country,latitude,temp,humidity,clouds,winds
la ronge,ca,55.1,59,33,75,11.41
moron,mn,47.38,42.5,39,8,14.97
mount gambier,au,-37.83,50,87,12,10.29
alfonsine,it,44.51,54,76,0,1.12
kamaishi,jp,39.28,55.4,82,75,9.17
sisimiut,gl,66.94,15.03,54,3,9.15
pochutla,mx,15.74,87.8,48,5,23.04
caxito,ao,-8.58,76.35,93,100,2.77
provideniya,ru,64.42,23,57,0,6.71
rafaela,ar,-31.25,73,59,23,1.99
monrovia,lr,6.33,80.6,88,40,9.04
kaitangata,nz,-46.28,60.39,52,0,2.66
maniitsoq,gl,65.42,18.75,63,0,7.7
kavieng,pg,-2.57,81.86,76,100,4.05
yar-sale,ru,66.83,24.37,95,100,6.76
awjilah,ly,29.14,68.83,38,0,9.93
saint george,bm,32.38,66.2,72,75,13.87
vestmannaeyjar,is,63.44,46.62,93,100,19.48
cherskiy,ru,68.75,18.97,89,92,19.42
marshall,us,39.39,52,87,90,14.99
whitehorse,ca,60.72,45,52,75,21.92
morant bay,jm,17.88,82.4,65,20,13.87
longyearbyen,sj,78.22,39.2,95,75,27.51
kousseri,cm,12.08,91.4,15,2,9.17
ilulissat,gl,69.22,15.8,61,10,5.82
camacupa,ao,-12.02,62.49,92,100,3.15
kahului,us,20.89,82.4,51,20,18.34
san juan bautista,py,-26.67,73.15,63,0,5.23
clyde river,ca,70.47,-7.61,83,5,2.08
lompoc,us,34.64,75.99,56,20,12.75
iqaluit,ca,63.75,23,92,90,24.16
jamestown,sh,-15.94,74.7,74,48,17.36
arlit,ne,18.74,80.37,5,0,8.05
faanui,pf,-16.48,84.47,77,7,11.92
port alfred,za,-33.59,64,94,4,1.99
bratsk,ru,56.15,21.2,34,21,17.9
torbay,ca,47.66,30.99,63,75,6.93
praia,cv,14.92,71.6,73,75,16.11
cape town,za,-33.93,66.99,87,0,5.82
alofi,nu,-19.06,80.6,74,75,17.22
viedma,ar,-40.81,58.62,57,49,6.58
bluefield,us,37.27,73.4,53,40,12.75
mar del plata,ar,-46.43,57.56,45,1,11.18
vardo,no,70.37,35.6,74,40,4.7
taoudenni,ml,22.68,88.29,11,0,11.52
hermanus,za,-34.42,64.99,88,16,7
castro,cl,-42.48,50,87,75,8.05
whitianga,nz,-36.83,72,60,0,4
vila velha,br,-3.71,82.4,74,20,8.05
sao joao da barra,br,-21.64,77,73,0,6.93
mandalgovi,mn,45.76,45.88,43,64,16.58
ruza,ru,55.7,41,52,0,8.95
aspindza,ge,41.57,27.02,91,51,1.32
cayenne,gf,4.94,80.6,78,40,8.05
ambilobe,mg,-13.19,71.71,90,49,4.99
constitucion,mx,23.99,75.2,7,20,18.34
villanueva de la serena,es,38.97,51.01,91,100,1.99
muscat,om,23.6,77,65,0,5.82
tuatapere,nz,-46.13,60.01,70,20,1.99
baringo,ke,0.47,54.56,84,1,0.94
dois vizinhos,br,-25.75,63.75,62,0,4.07
port elizabeth,za,-33.92,64.4,93,0,8.05
orange,au,-33.28,70,47,54,1.01
westport,nz,-41.75,60.19,60,76,3.06
constantine,dz,36.36,60.8,67,0,1.12
yenagoa,ng,4.92,77.49,91,100,3.91
puerto ayora,ec,-0.74,84.2,79,40,12.75
kapaa,us,22.08,82.4,61,20,9.17
severo-yeniseyskiy,ru,60.37,22.28,85,100,16.22
shingu,jp,33.72,66.2,77,20,2.24
puerto escondido,mx,15.86,82.4,69,5,16.11
lukovetskiy,ru,64.29,32,96,90,4.47
hasaki,jp,35.73,66,82,75,6.93
los llanos de aridane,es,28.66,64.4,72,75,18.34
northam,au,-31.65,53.6,81,75,18.34
morro bay,us,35.37,87.8,52,1,4.7
severo-kurilsk,ru,50.68,34.4,85,76,24.43
ahipara,nz,-35.17,66.62,61,19,7.45
manama,bh,26.22,78.8,65,0,9.17
saint-philippe,re,-21.36,77,65,0,8.05
hofn,is,64.25,38.03,99,100,23.42
baoning,cn,25.34,71.6,94,90,2.24
senftenberg,de,51.52,51.8,53,0,1.12
nanortalik,gl,60.14,30.42,82,30,2.28
takoradi,gh,4.89,79.74,88,99,3.71
yacuiba,bo,-22.04,69.8,94,75,1.77
grand-santi,gf,4.27,73.92,97,64,2.53
broken hill,au,-31.97,73.4,35,0,11.41
christchurch,nz,-43.53,63,76,54,8.05
saint-augustin,ca,45.63,55.99,76,90,19.46
ostrovnoy,ru,68.05,31.01,91,100,10.11
benguela,ao,-12.58,79.59,76,42,7.18
nhulunbuy,au,-12.18,84.2,66,41,13.87
chuy,uy,-33.69,68.52,69,81,7.27
hobart,au,-42.88,64,70,20,9.17
rio verde de mato grosso,br,-18.92,76.17,77,3,3.13
sinegorye,ru,62.09,24.06,73,100,2.93
kieta,pg,-6.22,84.78,65,95,1.86
hanna,ca,51.64,64.99,26,98,7
saint-pierre,pm,46.77,34,70,23,15.82
mahibadhoo,mv,3.78,85.03,69,100,7.58
opuwo,na,-18.06,70.83,38,3,3.33
barbate,es,36.19,59,93,98,1.12
touros,br,-5.2,82.4,83,20,6.93
qasigiannguit,gl,68.82,15.8,61,34,5.82
xai-xai,mz,-25.04,69.46,87,0,5.95
price,us,39.6,68,19,1,11.41
katsuura,jp,33.93,66.99,72,75,6.93
kitob,uz,39.12,57.2,87,98,2.24
palmer,us,61.6,42.01,75,75,6.93
upernavik,gl,72.79,-5.66,98,58,8.55
boromo,bf,11.74,97.79,17,39,3.76
ancud,cl,-41.87,50,87,75,8.05
sitka,us,37.17,57.99,45,87,11.01
jambi,id,-1.6,76.89,93,94,1.12
komsomolskiy,ru,67.55,27.65,94,100,12.64
yerbogachen,ru,61.28,27.74,91,100,15.5
esperance,au,-33.86,62.6,67,40,17.22
kruisfontein,za,-34,57.49,94,1,5.46
tupik,ru,54.43,27.52,51,71,8.39
padang,id,-0.92,84.11,71,100,7.83
chulym,ru,55.09,23.56,70,56,9.35
cocobeach,ga,1.01,75.2,94,20,5.82
kodiak,us,39.95,60.8,19,90,16.11
oktyabrskoye,ru,56.73,18,67,0,11.18
norman wells,ca,65.28,41,56,75,3.36
talnakh,ru,69.49,-14.81,75,0,6.71
ozernovskiy,ru,51.5,38.93,59,67,5.55
tsaratanana,mg,-16.8,68.22,87,97,9.93
aykhal,ru,65.95,19.4,44,0,8.95
punta umbria,es,37.18,49.77,92,45,4.63
paamiut,gl,61.99,27.23,59,0,44.6
mikhaylovsk,ru,56.44,24.15,73,15,1.74
barrow,us,39.51,54,66,75,10.29
ballina,au,-28.87,75.2,78,75,12.75
camacha,pt,33.08,60.8,67,20,17.22
campbell river,ca,50.02,51.8,93,90,10.29
segezha,ru,63.74,33.32,94,45,5.66
anadyr,ru,64.73,21.2,57,0,2.24
aden,ye,12.79,82.04,73,1,11.05
avarua,ck,-21.21,77,88,92,4.7
vawkavysk,by,53.15,45.21,77,8,7.05
wamba,cd,2.14,74.16,70,71,2.1
karratha,au,-20.74,81.59,46,43,15.66
bethel,us,60.79,30.2,45,90,5.82
aklavik,ca,68.22,21.2,67,75,16.11
igarka,ru,67.47,-8.83,92,0,11.32
husavik,is,66.04,51.8,57,20,19.46
ribeira grande,pt,38.52,62.19,90,0,12.62
yulara,au,-25.24,69.8,28,90,5.82
belmonte,br,-26.84,63.86,63,0,1.68
ayr,au,-19.58,79,70,1,7
hami,cn,42.84,63.18,21,99,16.08
fortuna,us,40.6,66.99,82,1,16.11
urengoy,ru,65.96,-2.55,79,69,7.61
rochester,us,44.02,52,61,90,9.17
qaanaaq,gl,77.48,-15.88,87,100,4.05
medea,dz,36.27,60.8,82,75,5.82
vilyuysk,ru,63.75,21.35,78,41,10.09
russell,nz,-35.26,64,78,19,3
tasiilaq,gl,65.61,35.6,80,94,16.11
anchorage,us,61.22,42.01,55,90,4.7
kawalu,id,-7.38,74.68,89,30,1.88
lavrentiya,ru,65.58,5.13,79,0,9.89
san juan del cesar,co,10.77,89.6,46,75,14.99
lakselv,no,70.05,35.01,87,4,19.46
hambantota,lk,6.12,82.64,78,26,5.32
lahat,id,-3.78,71.82,92,97,1.68
louviers,fr,49.22,57.99,58,0,8.05
mayumba,ga,-3.44,82.04,86,100,5.75
beloha,mg,-25.17,69.55,80,86,11.34
seoul,kr,37.57,53.6,54,75,3.36
noumea,nc,-22.28,78.8,74,75,6.93
maningrida,au,-12.05,82.51,67,40,10.29
victoria,sc,-4.62,78.8,94,20,2.24
tianjin,cn,39.12,53.6,30,0,6.71
latung,ph,5.5,83.48,75,41,8.63
ati,td,13.21,90.81,10,0,18.37
utica,us,43.1,64,63,75,10.29
tiksi,ru,71.64,15.14,88,81,8.93
muros,es,42.77,59,81,0,6.93
isangel,vu,-19.55,80.66,84,58,19.28
alice springs,au,-23.7,69.8,26,2,4.7
winnemucca,us,40.97,75.2,25,1,3.36
erdaojiang,cn,41.78,45.72,23,100,1.23
jaisalmer,in,26.91,78.23,35,0,4.97
yumen,cn,40.29,58.19,23,100,6.58
bam,ir,29.11,59.83,35,0,8.03
salalah,om,17.01,80.6,65,20,4.7
kamina,cd,-8.74,65.39,81,17,4.05
bud,no,62.91,48.2,65,100,6.93
grindavik,is,63.84,46.99,93,90,20.8
pires do rio,br,-17.3,70.47,91,23,3.13
batticaloa,lk,7.71,75.17,93,29,2.59
assens,dk,56.68,45,86,0,1.12
orcopampa,pe,-15.27,39.15,96,100,5.97
elban,ru,50.1,33.75,87,100,4.94
beneditinos,br,-5.46,82.4,88,0,2.19
byron bay,au,-28.65,77,78,75,12.75
doha,qa,25.29,80.6,51,0,8.05
salinas,ec,0.49,57.2,71,40,4.7
guerrero negro,mx,27.97,66.35,64,99,14.2
olinda,br,-22.82,80.6,65,20,6.93
ostashkov,ru,57.14,34.74,91,0,3.87
totness,sr,5.88,80.49,82,86,14.85
saskylakh,ru,71.97,-1.39,89,17,4.09
port blair,in,11.67,84.53,68,62,3.6
banyo,cm,6.75,68.29,63,100,2.08
tongren,cn,27.72,69.14,86,32,4.21
balikpapan,id,-1.24,80.6,94,20,5.82
qaqortoq,gl,60.72,39.2,55,29,3.36
bathsheba,bb,13.22,78.8,78,40,17.22
sainte-marie,mq,14.78,78.8,74,40,9.17
villa maria,ar,-32.41,69.32,71,27,7.45
raahe,fi,64.68,36,74,0,4.7
weston,us,42.37,52,81,90,5.82
burnie,au,-41.05,64,64,0,5.99
wuwei,cn,37.93,59.4,33,97,6.06
naron,es,43.52,55.99,82,0,3.36
moundou,td,8.57,92.93,27,73,2.55
caravelas,br,-17.73,78.68,90,39,4.83
cochrane,ca,51.19,69.01,31,75,17.22
williams lake,ca,52.13,55.4,54,90,18.34
kenai,us,60.55,43,60,90,8.05
saquena,pe,-4.67,75.81,96,85,3.36
inuvik,ca,68.36,21.2,62,75,9.17
souillac,mu,-20.52,77,78,40,9.17
luanda,ao,-8.83,82.08,82,100,10.07
arman,ru,59.7,27.81,84,98,3.51
sao filipe,cv,14.9,71.53,82,28,21.18
inhambane,mz,-23.87,67.75,95,0,3.89
mantua,cu,22.29,81.75,72,0,15.64
muzhi,ru,65.4,27.5,85,100,10.8
katherine,au,-14.47,77,69,23,6.93
shaowu,cn,27.34,69.48,85,79,4.36
huarmey,pe,-10.07,69.57,88,100,14.58
margate,za,-30.86,58.86,93,2,4.21
mount isa,au,-20.73,78.8,39,0,11.41
cap malheureux,mu,-19.98,77,78,40,9.17
gravelbourg,ca,49.88,59.92,26,37,6.31
santa fe,cu,23.13,84.2,66,20,8.05
taltal,cl,-25.41,63.66,76,0,2.93
usinsk,ru,66,31.77,93,100,11.54
williston,us,48.15,62.6,26,1,16.11
abeche,td,13.83,87.08,11,22,10.83
myrhorod,ua,49.97,45.16,53,99,4.21
coihaique,cl,-45.58,46.4,75,40,8.05
khorixas,na,-20.37,80.37,27,63,0.83
barabai,id,-2.59,80.12,86,100,1.41
lewisporte,ca,49.25,28.99,74,20,3.36
cabo san lucas,mx,22.89,84,41,75,9.17
baykit,ru,61.68,24.91,87,100,16.26
ponta do sol,cv,17.2,71.6,68,75,20.8
samarai,pg,-10.62,80.93,75,98,4.34
arica,cl,-18.48,69.8,68,0,5.82
lorengau,pg,-2.02,80.94,84,90,3.96
buraydah,sa,26.33,66.2,55,0,5.82
den helder,nl,52.96,57,76,0,13.87
te anau,nz,-45.41,55.04,67,95,6.51
oranjemund,na,-28.55,60.5,78,15,3.89
portland,au,-33.35,64.99,75,58,7
tikhvin,ru,59.64,21.99,84,28,2.28
mildura,au,-34.18,70,34,0,8.05
buala,sb,-8.15,82.44,78,100,6.4
hamilton,bm,32.3,66.2,72,75,13.87
cheremshan,ru,54.66,30.17,55,0,4.07
ulladulla,au,-35.36,68,77,90,2.24
ixtapa,mx,20.71,78.8,74,5,16.11
pevek,ru,69.7,17.3,80,96,12.37
novosheshminsk,ru,55.06,29.63,55,0,4.47
bilma,ne,18.69,72.9,12,0,4.76
galle,lk,6.04,84.74,71,43,2.66
natchitoches,us,31.76,68,82,40,3.36
lokossa,bj,6.65,82.1,82,77,7.27
jindrichuv hradec,cz,49.14,48,78,0,5.82
riyadh,sa,24.63,80.6,34,7,3.36
kargasok,ru,59.06,10.51,91,0,5.35
atasu,kz,48.68,27.74,94,100,22.97
pitimbu,br,-7.47,82.4,78,20,4.7
plaridel,ph,13.96,82.58,70,43,4.54
bjornevatn,no,69.67,35.6,74,25,11.41
sibi,pk,29.55,71.98,53,0,1.28
normandin,ca,48.84,33.8,100,90,9.17
chimbote,pe,-9.08,68.79,90,86,14.47
hobyo,so,5.35,81.9,75,47,12.24
eureka,us,40.8,66.99,82,1,16.11
vadgaon,in,20.94,79.95,45,0,14.2
xiantao,cn,30.37,72.72,76,0,10.07
ballymena,gb,54.87,48.99,81,91,5.82
rocha,uy,-34.48,59.6,83,82,5.88
blagoyevo,ru,63.37,32.87,94,82,6.53
arkhipo-osipovka,ru,44.37,37.53,93,100,7.85
mopipi,bw,-21.2,73.35,37,0,9.17
bentong,my,3.52,77,100,75,2.77
give,dk,55.85,44.01,80,0,3.36
gouyave,gd,12.16,80.84,76,58,19.28
santa cruz naranjo,gt,14.39,73.4,69,40,11.41
leh,in,34.16,15.41,56,47,3.51
juneau,us,58.3,44.6,87,90,20.8
rio cuarto,ar,-33.13,73.4,73,40,5.82
college,us,64.86,30.2,86,90,3.36
dawei,mm,14.07,81.81,77,47,3.02
po,bf,11.17,97.13,24,94,5.7
bilibino,ru,68.06,20.46,93,81,12.73
sungaipenuh,id,-2.08,76.86,74,87,3.36
teknaf,bd,20.86,83.45,64,0,10.85
palembang,id,-2.99,77,94,75,3.36
moose factory,ca,51.26,37.4,74,75,12.75
augusto correa,br,-1.02,76.03,96,92,2.21
svetlaya,ru,46.54,34.81,37,0,13.87
kota kinabalu,my,5.98,84.2,79,75,3.36
santa rosa,ar,-36.62,70.34,50,86,6.53
vao,nc,-22.67,76.57,84,99,22.62
zyryanka,ru,65.73,16.94,76,90,11.43
port lincoln,au,-34.72,71.82,57,100,14.36
quatre cocos,mu,-20.21,77,78,40,9.17
micheweni,tz,-4.97,84.62,74,8,12.57
atar,mr,20.52,83.82,14,57,9.62
chase,ca,50.82,53.6,71,75,19.46
gioia del colle,it,40.8,51.01,93,0,5.82
hohen neuendorf,de,52.67,55.99,57,0,3.36
evensk,ru,61.92,31.71,79,98,6.58
jawa,jo,31.85,52,76,20,6.93
pahrump,us,36.21,89.01,12,1,9.17
cabatuan,ph,16.95,80.64,75,1,3.62
hit,iq,33.64,62.24,56,1,7.18
caapucu,py,-26.22,73.15,63,0,5.23
popondetta,pg,-8.77,79.05,62,100,3.36
sembe,cg,1.65,72.7,97,100,2.39
preobrazheniye,ru,42.9,42.32,24,0,13.11
bukachacha,ru,52.99,34.2,23,76,8.68
harper,lr,4.38,81.45,85,99,7.2
mendi,pg,-6.14,67.48,64,63,2.46
cidreira,br,-30.17,69.08,83,2,5.14
tautira,pf,-17.73,89.6,59,20,13.87
panjab,af,34.38,33.57,53,0,2.93
belaya gora,ru,68.54,12.51,75,16,6.55
port augusta,au,-32.49,80.6,30,22,6.93
moquegua,pe,-17.19,60.01,73,43,1.92
pisco,pe,-13.71,71.6,30,0,5.82
udachnyy,ru,66.42,19.4,44,0,8.95
nisia floresta,br,-6.09,82.4,78,20,6.93
sabang,id,1.17,83.34,67,10,0.63
san patricio,mx,19.22,78.8,74,5,11.41
kenora,ca,49.76,53.6,27,1,3.36
paranaiba,br,-19.68,72.84,80,18,3.15
trofors,no,65.54,48.2,61,100,14.99
sinnamary,gf,5.38,81.27,82,42,13.91
bahia honda,cu,22.9,82.08,73,1,13.67
olenino,ru,56.21,34.58,93,0,4.68
novokizhinginsk,ru,51.61,42.24,47,95,12.33
bongandanga,cd,1.51,78.3,78,100,2.59
ayagoz,kz,47.96,21.85,44,98,21.77
narsaq,gl,60.91,39.2,55,29,3.36
merauke,id,-8.49,81.7,76,81,16.15
ovsyanka,ru,53.58,30.54,25,0,6.4
lyndon,us,38.61,64.4,44,1,16.11
bone,id,-2.49,66.62,74,53,2.17
cabrera,co,3.98,58.64,87,100,2.66
praia da vitoria,pt,38.73,62.6,88,20,8.41
sao sepe,br,-30.16,64.4,93,0,3.36
povenets,ru,62.85,31.17,92,53,4.79
birao,cf,10.3,92.48,14,98,9.4
sistranda,no,63.73,50,70,0,5.82
los alamos,us,35.88,71.01,12,57,11.41
itoman,jp,26.12,73.4,64,75,5.82
powassan,ca,46.08,50,100,90,9.17
xixiang,cn,22.58,77,94,40,5.82
umm lajj,sa,25.02,75.15,53,0,14.54
lagoa,pt,37.14,55.99,93,0,9.17
pasighat,in,28.06,61.09,97,83,2.86
dingle,ie,52.14,53.87,83,47,12.62
mayo,ca,63.59,42.8,55,90,6.93
broome,au,-17.97,82.4,88,67,6.93
darhan,mn,49.49,48.49,44,98,4.94
balkhash,kz,46.84,33.86,44,99,23.78
kalaleh,ir,37.38,57.2,87,31,2.24
alexandria,br,-6.41,74.59,81,97,6.33
maragogi,br,-9.01,75.85,90,81,4.07
walvis bay,na,-22.95,51.8,93,0,2.24
conde,br,-11.81,74.88,90,31,3.29
youghal,ie,51.95,53.01,81,75,9.17
matamoros,mx,25.53,84.2,14,5,9.17
myaundzha,ru,63.05,18.03,85,80,3.78
sibolga,id,1.74,83.36,74,100,8.19
otane,nz,-39.89,62.01,63,0,3.56
tripoli,ly,32.88,63.21,70,11,24.94
mitsamiouli,km,-11.38,84.62,74,14,6.89
silver city,us,32.77,73.99,17,1,10.29
diapaga,bf,12.07,92.54,7,13,5.66
ruteng,id,-8.61,80.06,79,1,1.54
grand gaube,mu,-20.01,77,78,40,9.17
aktau,kz,43.65,32,70,40,4.47
dudinka,ru,69.41,-14.81,75,0,6.71
dwarka,in,28.58,68,68,1,5.39
domoni,km,-12.26,85.3,69,10,5.14
kamloops,ca,50.68,53.6,71,75,19.46
baruun-urt,mn,46.68,42.35,32,0,17.02
vanimo,pg,-2.67,81.39,73,100,2.37
denta,ro,45.35,51.8,66,0,1.12
ulaanbaatar,mn,47.92,46.4,26,75,17.9
daru,pg,-9.07,85.03,65,50,8.03
vangaindrano,mg,-23.35,71.6,96,27,5.19
dalhousie,ca,48.06,46.4,42,90,5.82
maldonado,uy,-34.91,64.4,82,0,9.13
tambacounda,sn,13.77,93.35,10,19,10.87
sarakhs,ir,36.54,60.8,82,98,2.24
adrasmon,tj,40.65,60.8,77,90,2.24
vostok,ru,46.45,31.91,36,32,15.1
chunskiy,ru,56.08,21.99,52,51,19.93
nyurba,ru,63.29,23.67,77,13,8.61
issia,ci,6.49,77.88,93,99,4.34
ossora,ru,59.24,33.64,88,80,2.3
sarany,ru,58.55,20.07,92,3,3.04
antropovo,ru,55.25,42.01,59,0,8.95
valdivia,cl,-39.81,55.4,87,90,4.7
charters towers,au,-20.07,76.84,56,0,14.34
banjarmasin,id,-3.32,78.8,94,0,3.36
chapais,ca,49.78,33.8,97,90,6.93
portobelo,pa,9.55,84.99,70,40,8.05
periyapatti,in,11.22,83.16,66,95,5.59
coos bay,us,43.37,62.6,72,1,11.41
xuddur,so,4.12,77.74,77,100,12.17
teguldet,ru,57.31,16.59,84,100,13.82
zhanaozen,kz,43.35,36.16,70,100,14.25
varnamo,se,57.19,34,57,0,1.36
otjimbingwe,na,-22.35,69.23,22,0,2.3
kaniv,ua,49.76,45.14,79,73,4.79
geraldton,au,-28.77,62.6,63,90,21.92
ngunguru,nz,-35.62,64,78,74,3
manavalakurichi,in,8.13,82.4,88,40,2.24
along,in,28.17,52,92,98,3.24
pontianak,id,-0.02,77,94,40,2.53
kavaratti,in,10.57,84.74,69,100,11.52
kloulklubed,pw,7.04,82.4,83,75,4.7
elliot,za,-31.33,48.65,73,6,3.58
guiyang,cn,26.58,64.4,100,40,4.47
havoysund,no,71,37.4,86,2,24.16
hendersonville,us,36.3,77,50,40,10.29
jijiga,et,9.35,62.58,86,34,5.7
sompeta,in,18.93,76.95,76,0,4.7
jilin,cn,43.84,46.69,20,3,7.36
port hardy,ca,50.7,46.4,93,90,10.29
fare,pf,-16.7,84.13,77,2,11.5
haines junction,ca,60.75,38.25,51,73,16.33
huanuco,pe,-9.93,38.7,98,98,2.44
banda aceh,id,5.56,84.54,72,100,6.4
itacarambi,br,-15.1,71.76,84,50,3.74
yarkovo,ru,54.81,19.4,67,0,13.42
jaszkarajeno,hu,47.05,51.01,75,0,2.24
oistins,bb,13.07,78.8,78,40,17.22
berlevag,no,70.86,39.18,90,18,21.36
fort nelson,ca,58.81,55.4,24,75,9.17
kerema,pg,-7.96,80.51,78,82,2.04
beringovskiy,ru,63.05,20.64,74,0,1.05
rio gallegos,ar,-51.62,42.8,87,75,3.36
hedaru,tz,-4.5,69.53,90,33,8.77
pacifica,us,37.61,84.2,44,20,4.7
usogorsk,ru,63.43,32.65,94,97,7.56
gediz,tr,38.99,37,81,3,8.99
hirara,jp,24.8,75.2,83,75,8.05
ewa beach,us,21.32,82,61,40,8.05
zaozerne,ua,51.37,48.58,69,20,6.51
bubaque,gw,11.28,79.02,71,20,16.49
itarema,br,-2.92,77.81,88,91,4.54
atambua,id,-9.11,82.78,62,0,10.11
hervey bay,au,-25.3,82,65,21,12.75
flin flon,ca,54.77,59,33,75,11.41
skjervoy,no,70.03,38.93,71,2,11.16
hirtshals,dk,57.59,50,62,0,6.08
jaru,br,-10.43,77.56,81,25,2.24
bandarbeyla,so,9.49,78.3,73,17,6.6
boddam,gb,57.47,46,93,100,3.36
cajetina,rs,43.75,39.2,80,0,5.82
kudahuvadhoo,mv,2.67,85.89,67,85,9.15
narrabri,au,-30.33,71.6,53,0,9.17
mazagao,br,-0.12,80.6,100,20,6.93
point pedro,lk,9.82,85.07,77,92,10.49
bunol,es,39.42,59,93,75,1.12
yining,cn,29.04,72.93,76,1,1.99
santa luzia,br,-19.77,73.4,68,0,2.24
yarmouth,ca,43.84,43,65,90,12.75
redlands,us,34.06,93.2,18,1,12.75
bo phloi,th,14.32,82.87,66,60,7.43
kiunga,pg,-6.12,79.47,85,99,2.39
lesozavodsk,ru,45.47,40.88,18,0,19.73
karad,in,17.29,72.34,54,5,4.09
enkoping,se,59.64,46,64,1,2.24
coahuayana,mx,18.62,101.05,10,0,6.29
takaka,nz,-40.86,64.99,74,91,8.99
minab,ir,27.15,71.6,88,0,1.12
road town,vg,18.42,80.6,65,20,8.05
la sarre,ca,48.8,36.66,93,100,8.55
half moon bay,us,37.46,86,44,20,4.7
shache,cn,38.42,66.94,27,37,7.11
majene,id,-3.54,83.86,76,9,13.15
kontagora,ng,10.4,90.79,14,48,2.51
newport,us,41.49,54,93,90,16.11
kislovodsk,ru,43.91,37.4,95,90,11.18
sorong,id,-0.86,84,73,71,3.04
neryungri,ru,56.66,17.51,74,0,7.85
port-gentil,ga,-0.72,78.8,94,20,4.7
pangody,ru,65.85,13.28,96,100,11.88
garowe,so,8.41,77.76,73,44,14.2
raduzhnyy,ru,62.1,8.75,88,50,8.37
gilbues,br,-9.83,76.55,75,55,4.36
mwanza,mw,-15.61,66.56,98,44,3.89
tottori,jp,35.5,55.4,100,75,6.93
sinjai,id,-5.12,76.71,78,10,3.87
tak bai,th,6.26,77,94,75,2.24
yeppoon,au,-23.13,78.8,57,40,13.87
san cristobal,ec,-1.02,77.16,90,100,4.81
narasannapeta,in,18.42,77.11,91,0,2.71
georgetown,sh,-7.93,80.33,80,60,14.27
sechura,pe,-5.56,72.99,82,3,16.64
nome,us,30.04,75.2,60,40,12.75
jaora,in,23.64,76.91,37,0,9.55
nouakchott,mr,18.08,69.8,83,0,12.75
lerwick,gb,60.15,48.2,87,87,6.93
alibag,in,18.64,80.6,74,20,3.36
vila do maio,cv,15.13,71.6,73,75,16.11
muzaffarabad,pk,34.37,48.6,52,0,5.91
tabou,ci,4.42,78.84,91,91,3.22
zhoucheng,cn,31.35,60.8,87,90,13.42
hovd,mn,48.01,36.48,35,1,15.59
sao sebastiao,br,-3.15,76.34,94,84,2.84
hualmay,pe,-11.1,69.15,90,100,14.43
la asuncion,ve,11.03,82.4,83,20,18.12
jhanjharpur,in,26.21,77.52,35,0,5.66
roald,no,62.58,48.2,57,100,8.05
san lorenzo,ar,-24.73,68,88,40,8.05
tombouctou,ml,16.77,88.68,7,0,9.64
